"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","European Union - 28 countries","Population on 1 January - total ","406,731,754",""
"1960","European Union - 28 countries","Live births - total",":",""
"1960","European Union - 28 countries","Deaths - total",":",""
"1960","European Union - 28 countries","Natural change of population",":",""
"1960","European Union - 28 countries","Net migration plus statistical adjustment",":",""
"1960","European Union - 27 countries (from 2019)","Population on 1 January - total ","354,531,754",""
"1960","European Union - 27 countries (from 2019)","Live births - total",":",""
"1960","European Union - 27 countries (from 2019)","Deaths - total",":",""
"1960","European Union - 27 countries (from 2019)","Natural change of population",":",""
"1960","European Union - 27 countries (from 2019)","Net migration plus statistical adjustment",":",""
"1960","European Union - 27 countries (2007-2013)","Population on 1 January - total ","402,604,332",""
"1960","European Union - 27 countries (2007-2013)","Live births - total",":",""
"1960","European Union - 27 countries (2007-2013)","Deaths - total",":",""
"1960","European Union - 27 countries (2007-2013)","Natural change of population",":",""
"1960","European Union - 27 countries (2007-2013)","Net migration plus statistical adjustment",":",""
"1960","Euro area (19 countries)","Population on 1 January - total ","263,140,292",""
"1960","Euro area (19 countries)","Live births - total",":",""
"1960","Euro area (19 countries)","Deaths - total",":",""
"1960","Euro area (19 countries)","Natural change of population",":",""
"1960","Euro area (19 countries)","Net migration plus statistical adjustment",":",""
"1960","Euro area (18 countries)","Population on 1 January - total ","260,384,692",""
"1960","Euro area (18 countries)","Live births - total",":",""
"1960","Euro area (18 countries)","Deaths - total",":",""
"1960","Euro area (18 countries)","Natural change of population",":",""
"1960","Euro area (18 countries)","Net migration plus statistical adjustment",":",""
"1960","Belgium","Population on 1 January - total ","9,128,824",""
"1960","Belgium","Live births - total","153,659",""
"1960","Belgium","Deaths - total","113,938",""
"1960","Belgium","Natural change of population","39,721",""
"1960","Belgium","Net migration plus statistical adjustment","9,609",""
"1960","Bulgaria","Population on 1 January - total ","7,829,246",""
"1960","Bulgaria","Live births - total","140,082",""
"1960","Bulgaria","Deaths - total","63,665",""
"1960","Bulgaria","Natural change of population","76,417",""
"1960","Bulgaria","Net migration plus statistical adjustment","-161",""
"1960","Czechia","Population on 1 January - total ","9,637,840",""
"1960","Czechia","Live births - total","128,879",""
"1960","Czechia","Deaths - total","93,863",""
"1960","Czechia","Natural change of population","35,016",""
"1960","Czechia","Net migration plus statistical adjustment","-106,684",""
"1960","Denmark","Population on 1 January - total ","4,565,455",""
"1960","Denmark","Live births - total","76,077",""
"1960","Denmark","Deaths - total","43,681",""
"1960","Denmark","Natural change of population","32,396",""
"1960","Denmark","Net migration plus statistical adjustment","-4,101",""
"1960","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","55,257,088",""
"1960","Germany (until 1990 former territory of the FRG)","Live births - total","968,629",""
"1960","Germany (until 1990 former territory of the FRG)","Deaths - total","642,962",""
"1960","Germany (until 1990 former territory of the FRG)","Natural change of population","325,667",""
"1960","Germany (until 1990 former territory of the FRG)","Net migration plus statistical adjustment","375,566",""
"1960","Germany including former GDR","Population on 1 January - total ","72,542,990",""
"1960","Germany including former GDR","Live births - total","1,261,614",""
"1960","Germany including former GDR","Deaths - total","876,721",""
"1960","Germany including former GDR","Natural change of population","384,893",""
"1960","Germany including former GDR","Net migration plus statistical adjustment","158,926",""
"1960","Estonia","Population on 1 January - total ","1,206,362",""
"1960","Estonia","Live births - total","20,187",""
"1960","Estonia","Deaths - total","12,738",""
"1960","Estonia","Natural change of population","7,449",""
"1960","Estonia","Net migration plus statistical adjustment","2,901",""
"1960","Ireland","Population on 1 January - total ","2,835,500",""
"1960","Ireland","Live births - total","60,735",""
"1960","Ireland","Deaths - total","32,660",""
"1960","Ireland","Natural change of population","28,075",""
"1960","Ireland","Net migration plus statistical adjustment","-41,875",""
"1960","Greece","Population on 1 January - total ","8,300,399",""
"1960","Greece","Live births - total","157,239",""
"1960","Greece","Deaths - total","60,563",""
"1960","Greece","Natural change of population","96,676",""
"1960","Greece","Net migration plus statistical adjustment","-34,025",""
"1960","Spain","Population on 1 January - total ","30,327,000",""
"1960","Spain","Live births - total","660,129",""
"1960","Spain","Deaths - total","262,260",""
"1960","Spain","Natural change of population","397,869",""
