Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,561.778746269502
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124.98239042866
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3916.88157088626
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11834.7452292307
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,36988.6220301891
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3308.70023298492
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,14462.1762794658
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12440.3209818055
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3614.68835699811
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49755.315480305
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,44757.6348988008
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3878.70925736637
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,28785.4776705382
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22579.0934203237
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1358.77902884543
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15891.6265491446
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,4989.42776304984
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,41271.4821478247
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4744.73639747761
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,789.440410685648
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2773.54713530224
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3104.95608914095
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4808.40542514772
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6924.14977548052
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8649.94849175062
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,26939.4175086523
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7469.02524680201
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,627.103078753299
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,285.727442064745
